ZIP_Code,Count_Part_1_Crime,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Count_Education_Facility,Median_AirBNB_Price_June ,Median_Price_Entire_Home/Apt_June,Median_Price_Hotel_Room_June,Median_Price_Private_Room_June ,Median_Price_Shared_Room_June,Median_Price_September,Median_Price_Entire_Home/Apt_September,Median_Price_Hotel_Room_September,Median_Price_Private_Room_September,Median_Price_Shared_Room_September,Population,Crime_Per_Capita,Education_Per_Capita,Public_Safety_Per_Capita,,
91790,0,4,1,1,1,14,137,136,0,159,0,136.5,135,0,149,0,44710,0.00000,0.000313129,0.000089,,
91791,1,2,0,0,0,14,175,175,0,0,0,178,178,0,0,0,33028,0.00003,0.000423883,0.000061,,
91792,6,1,0,0,0,4,89,99,0,51,0,83,96.5,0,52,0,30629,0.00020,0.000130595,0.000033,,
91801,0,5,1,1,1,13,62.5,147,0,34,0,62,144,0,36,0,53381,0.00000,0.000243532,0.000094,,
91803,0,1,0,0,0,10,74.5,136,0,42,20,68,137,0,40,20,27715,0.00000,0.000360815,0.000036,,
93243,7,1,0,0,0,1,59.5,59.5,0,0,0,78,78,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,,
93510,55,2,0,0,1,5,120,120,0,0,0,146,146,0,0,0,7786,0.00706,0.000642178,0.000257,,
93532,17,4,0,0,2,1,68,150,0,50,0,87,152,0,41,0,2930,0.00580,0.000341297,0.001365,,
93534,762,4,2,2,0,22,111,186.5,0,51,0,113,179,0,50,0,41430,0.01839,0.000531016,0.000097,,
93535,768,2,0,0,0,28,233,233,0,0,0,238.5,238.5,0,0,0,79409,0.00967,0.000352605,0.000025,,
93536,437,8,0,0,3,19,276,166,0,301,0,276,167,0,301,0,73412,0.00595,0.000258813,0.000109,,
93543,151,1,0,0,0,4,94,94,0,0,0,114.5,114.5,0,0,0,12275,0.01230,0.000325866,0.000081,,
93544,32,1,0,0,0,0,,,,,,,,,,,1027,0.03116,0,0.000974,,
93550,1284,6,1,1,1,23,,,,,,,,,,,80645,0.01592,0.000285201,0.000074,,
93551,950,2,0,0,0,15,,,,,,,,,,,54360,0.01748,0.000275938,0.000037,,
93553,21,1,0,0,0,1,,,,,,,,,,,1319,0.01592,0.00075815,0.000758,,
93563,6,1,0,0,1,0,,,,,,,,,,,195,0.03077,0,0.005128,,
93591,40,1,0,0,0,3,,,,,,,,,,,7051,0.00567,0.000425472,0.000142,,
