ZIP_CODE,Count_Part_1_Crime,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Count_Education_Facility,Population,Crime_Per_Capita,Education_Per_Capita,Public_Safety_Per_Capita,amenities_index,crime_index,education_index,crime_events,violent_crime_events,property_crime_events,part1_events,crime_events_per_capita,violent_crime_per_capita,property_crime_per_capita,part1_events_per_capita
90001,1061,1,0,0,0,21,56189,0.01888,0.000373739,1.8e-05,-0.31651112064150394,0.000981509841559253,0.15150988852745534,3571.0,1568.0,1828.0,2189.0,0.06355336453754294,0.027905817864706615,0.0325330580718646,0.038957803128726265
90002,196,1,0,0,0,14,52122,0.00376,0.000268601,1.9e-05,-0.5578604349039908,-0.06943777977920364,-0.35308720897699813,10385.0,4358.0,5446.0,5824.0,0.1992440811941215,0.08361152680250182,0.10448562986838571,0.11173784582326081
90003,8,3,1,1,1,24,70065,0.00011,0.000342539,4.3e-05,0.795094888576288,-0.08643714532918939,0.0017692672284107952,26447.0,12230.0,12664.0,15192.0,0.3774637836294869,0.17455220152715337,0.1807464497252551,0.2168272318561336
90004,2,1,0,0,0,22,58484,3e-05,0.000376171,1.7e-05,-0.28203264717543436,-0.08680973416316168,0.16318197798256046,14917.0,4206.0,9985.0,9170.0,0.2550612133233021,0.07191710553313727,0.17073045619314683,0.15679502086040625
90005,2,1,0,0,0,13,39142,5e-05,0.000332124,2.6e-05,-0.5923389083700605,-0.08671658695466859,-0.04821626388792091,10337.0,3233.0,6602.0,6297.0,0.26408972459250935,0.08259669919779265,0.16866792703489858,0.16087578560114454
90006,1,2,1,1,0,13,55527,2e-05,0.00023412,3.6e-05,0.2678314024512454,-0.08685630776740821,-0.5185745924068813,14678.0,5239.0,8599.0,8312.0,0.2643398706935365,0.09435049615502368,0.15486159886181497,0.14969294217227655
90007,5,1,0,0,0,22,38715,0.00013,0.000568255,2.6e-05,-0.28203264717543436,-0.0863439981206963,1.0850658722647937,15807.0,4032.0,10941.0,10180.0,0.4082913599380085,0.10414567996900426,0.2826036419992251,0.2629471780963451
90011,5,3,1,1,0,38,100113,5e-05,0.000379571,3e-05,1.2777935171012618,-0.08671658695466859,0.17949986620104597,21809.0,8384.0,11962.0,12293.0,0.21784383646479477,0.08374536773446006,0.11948498197037348,0.12279124589214188
90012,244,8,1,1,5,8,37336,0.00654,0.00021427,0.000214,0.9834407031105611,-0.05649031779866654,-0.6138422633295105,19499.0,5342.0,13027.0,10712.0,0.522257338761517,0.14307906578101565,0.34891257767302336,0.28690807799442897
90014,0,2,1,1,0,0,10224,0.0,0.0,0.000196,-0.1803887526076589,-0.08694945497590129,-1.6422051776162503,7494.0,2680.0,4519.0,5122.0,0.732981220657277,0.2621283255086072,0.4419992175273865,0.5009780907668232
90015,22,4,3,3,0,15,24704,0.00089,0.000607189,0.000162,2.0571289710259966,-0.08280440419795956,1.2719248898820048,19884.0,5435.0,13642.0,13348.0,0.804889896373057,0.22000485751295337,0.5522182642487047,0.5403173575129534
90016,0,1,0,0,0,11,46457,0.0,0.000236778,2.2e-05,-0.6612958553021996,-0.08694945497590129,-0.5058178433231357,13198.0,4086.0,8355.0,7386.0,0.2840906644854381,0.08795229997632219,0.17984372645672342,0.15898572873840325
90017,1,1,1,1,0,16,30172,3e-05,0.000530293,3.3e-05,0.22326654485117692,-0.08680973416316168,0.902871850926514,17474.0,5177.0,11706.0,11356.0,0.5791462282911308,0.1715829245658226,0.3879756065226037,0.3763754474347077
90018,0,2,0,0,0,16,48745,0.0,0.000328239,4.1e-05,-0.34090320997357454,-0.08694945497590129,-0.06686185086698447,11631.0,3894.0,6963.0,6521.0,0.2386090881116012,0.07988511642219714,0.14284542004308134,0.13377782336649913
90019,1,2,1,1,1,15,59548,2e-05,0.000251898,3.4e-05,0.3367883493833846,-0.08685630776740821,-0.43325123453975245,16951.0,4882.0,10953.0,9994.0,0.2846611137233828,0.08198428158796266,0.1839356485524283,0.16783099348424801
90021,6,1,0,0,0,8,2897,0.00207,0.002761477,0.000345,-0.7647312757004083,-0.07730871889686827,11.611169235301112,8913.0,2598.0,5958.0,6606.0,3.0766309975837074,0.8967897825336555,2.0566102865032794,2.2802899551259923
