ZIP_CODE,Population,Part_1_Crime_Count,Part_1_Crime_Per_Capita,Count_Educational_Facility,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Airbnb_Listings_Count_June,Airbnb_Listings_Per_Capita_June,Median_Price_June,Median_Price_Entire_Home/Apt_June,Median_Price_Hotel_Room_June,Median_Price_Private_Room_June,Median_Price_Shared_Room_June,LAX_Median_Distance_June_(KM),Hollywood_Walk_of_Fame_Median_Distance_June_(KM),Griffith_Park_Median_Distance_June_(KM),Walt_Disney_Concert_Hall_Median_Distance_June_(KM),TCL_Chinese_Theater_Median_Distance_June_(KM),Madame_Tussauds_Median_Distance_June_(KM),Venice_Beach_Median_Distance_June_(KM),Crypto_Arena_Median_Distance_June_(KM),California_Science_Center_Median_Distance_June_(KM),Hollywood_Sign_Median_Distance_June_(KM),La_Brea_Median_Distance_June_(KM),Getty_Center_Median_Distance_June_(KM),Griffith_Observatory_Median_Distance_June_(KM),Universal_Studios_Hollywood_Median_Distance_June_(KM),Aquarium_of_the_Pacific_Median_Distance_June_(KM),Santa_Monica_Pier_Median_Distance_June_(KM),Queen_Mary_Median_Distance_June_(KM),Airbnb_Listings_Count_Sept,Airbnb_Listings_Per_Capita_Sept,LAX_Distance_Median_Sept_(KM),log_median_price_june,log_population,log_part_1_crime_count,crime_per_10k,crime_z,education_facilities_z,public_safety_z,external_amenities_index,avg_landmark_distance_z,centrality_index
90503,43454.0,3.0,6.904e-05,15.0,4.0,1.0,1.0,1.0,97.0,0.002232246,90.0,157.0,0.0,72.0,0.0,12.33984812,29.30377226,33.5418921,25.46264268,29.23210522,29.20245168,19.47179103,23.90557534,20.55928904,32.94698746,24.94223363,28.49738601,31.47220723,33.19122722,17.19334097,22.75902329,18.2342614,95,0.00218622,12.30810256,4.499809670330265,10.67948119887156,1.3862943611198906,0.6904,-0.5662231180772791,0.3286302429855267,0.7626935242188175,0.5446682038280902,-0.18755608430157145,0.18755608430157145
90504,33084.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,73.0,0.002206505,144.5,196.0,264.0,62.0,0.0,10.52610481,26.15455595,30.33577531,22.321169,26.13694201,26.10855365,18.03627093,20.7080485,17.28394665,29.79298781,21.90922498,26.41352478,28.25289072,30.14920701,17.76555668,21.37470611,18.90052003,72,0.002176279,10.52764459,4.973279507552487,10.40683528644616,0.0,0.0,-0.573833820162574,-0.24429743113995359,-0.38268482092382755,-0.577446087581547,-0.3381673192008003,0.3381673192008003
90505,35148.0,1.0,2.845e-05,12.0,2.0,0.0,0.0,0.0,81.0,0.002304541,105.0,200.0,141.5,79.5,0.0,16.48216498,33.31750484,37.49254551,29.4422821,33.30058829,33.27241048,23.45607748,27.87020158,24.5053573,36.95421443,29.0449622,32.63373642,35.41396959,37.29638049,14.75007643,26.70781386,15.65868794,82,0.002332992,16.61456653,4.653960350157523,10.467351447331982,0.6931471805599453,0.28450000000000003,-0.5706976024000212,-0.10106551260858351,-0.38268482092382755,-0.5416381079487045,0.02593455185272415,-0.02593455185272415
90601,30078.0,69.0,0.00229404,14.0,2.0,0.0,0.0,1.0,75.0,0.002493517,137.0,177.0,0.0,77.5,0.0,34.25726137,28.78183978,28.09605653,20.20320045,30.00697417,30.03254964,39.46503105,21.40382346,22.51725129,30.05284431,29.91352025,40.80014592,27.4789252,32.78639179,29.29068732,41.83806236,29.88491694,76,0.002526764,34.23906455,4.919980925828125,10.31158253283031,4.248495242049359,22.940399999999997,-0.3209477394593616,0.1853983244541566,-0.38268482092382755,-0.47002214868301945,0.12388817385079404,-0.12388817385079404
90602,25905.0,8.0,0.00030882,3.0,3.0,1.0,1.0,1.0,45.0,0.001737116,125.0,138.0,0.0,69.0,0.0,35.08719195,30.85614122,30.33776412,22.13788732,32.04781327,32.07078411,40.65544048,23.22359477,24.02612291,32.21353617,31.71236969,42.52006192,29.64888688,34.95331318,28.01645786,43.12930368,28.53363495,46,0.001775719,35.05735009,4.8283137373023015,10.162229881090202,2.1972245773362196,3.0882,-0.5397906999716593,-1.390152779390914,0.190004351647495,-0.02819984490885058,0.21649448936563911,-0.21649448936563911
90603,21118.0,1.0,4.735e-05,4.0,1.0,0.0,0.0,0.0,21.0,0.000994412,57.0,115.0,0.0,54.5,0.0,38.78334954,35.53189413,35.12124228,26.76626469,36.71100179,36.73301477,44.72675692,27.78150101,28.41841545,37.00874366,36.24444414,46.9926653,34.4312654,39.71222223,28.06197362,47.30822415,28.38660485,18,0.000852353,39.17544122,4.04305126783455,9.957928388214375,0.6931471805599453,0.4735,-0.5686141396333343,-1.246920860859544,-0.9553739934951502,-0.9712742381542752,0.4692920942471603,-0.4692920942471603
90604,39276.0,271.0,0.00689989,13.0,2.0,0.0,0.0,0.0,40.0,0.001018434,117.0,158.5,0.0,86.0,0.0,35.88338965,34.2380667,34.30059139,25.37422473,35.36900287,35.38732661,42.09099366,26.19537964,26.3788192,36.00909519,34.48724453,45.00993437,33.40752546,38.57819868,24.63809882,44.79564693,25.04229907,39,0.000992973,35.88287886,4.762173934797756,10.578394384806286,5.605802066295998,68.99889999999999,0.18678331789224972,0.04216640592278654,-0.38268482092382755,-0.5058301283158619,0.3561843515954478,-0.3561843515954478
90638,45933.0,605.0,0.01317136,14.0,3.0,1.0,1.0,0.0,43.0,0.000936146,72.5,164.0,0.0,64.5,0.0,36.61814805,36.42209261,36.69139532,27.53232321,37.49140889,37.50642165,43.14116298,28.16254155,28.07160455,38.31340015,36.3122394,46.6443893,35.71530846,40.89567587,22.87209032,45.97165312,23.21213893,46,0.001001459,36.60517571,4.283586561860629,10.73496086257636,6.406879986069314,131.7136,0.8781258701353558,0.1853983244541566,0.190004351647495,0.3656879310524171,0.4498383726352174,-0.4498383726352174
90640,61382.0,18.0,0.00029325,20.0,6.0,2.0,2.0,1.0,53.0,0.000863445,155.0,160.0,0.0,116.0,0.0,28.32312024,22.26321119,21.58552637,13.66896795,23.51295104,23.54298642,33.21590221,14.85419352,16.08402222,23.49358936,23.36373507,34.25032019,20.90853249,26.23303363,29.16678118,35.44282502,29.98839104,54,0.000879737,28.34640923,5.043425116919247,11.024888202834669,2.9444389791664403,2.9325,-0.5415070764413585,1.044789835642377,1.9080718693614627,1.70259047487057,-0.2374851396277986,0.2374851396277986
90650,99900.0,1551.0,0.01552553,29.0,5.0,2.0,2.0,1.0,85.0,0.000850851,82.0,115.5,0.0,61.0,0.0,30.39525006,31.32990801,32.33324159,22.63118918,32.31880343,32.32887743,36.965489,22.90195542,22.37214016,33.74347827,30.71076741,40.67344202,31.16467017,35.99133459,18.6947871,39.8352132,19.22175156,102,0.001021021,30.40729413,4.406719247264253,11.511934974596555,7.347299700743164,155.2553,1.137640449048139,2.3338771024247076,1.33538269679014,1.881689998423322,0.12934969976223754,-0.12934969976223754
90660,60272.0,1306.0,0.02166844,19.0,4.0,1.0,1.0,0.0,56.0,0.000929121,129.0,135.0,0.0,74.5,0.0,29.56326049,25.26150979,25.09148417,16.41823572,26.38257776,26.40100557,34.95742838,17.43972409,18.28228864,26.9263701,25.92701633,36.78318182,24.35401088,29.57931195,26.50183201,37.3704018,27.23014177,55,0.00091253,29.53727722,4.859812404361672,11.006639521246269,7.175489713624222,216.6844,1.8148110450327646,0.9015579171110069,0.7626935242188175,0.6879001223594603,-0.1041489887273051,0.1041489887273051
90670,17851.0,2.0,0.00011204,12.0,5.0,1.0,1.0,0.0,8.0,0.000448154,102.0,102.0,0.0,0.0,0.0,30.12292282,28.4645329,28.60635836,19.5989449,29.55371187,29.57011563,36.1387733,20.3172949,20.33275386,30.25492052,28.55780776,38.93826027,27.65392398,32.84581471,23.48408015,38.7870631,24.12848075,7,0.000392135,30.3591874,4.624972813284271,9.78987082574916,1.0986122886681096,1.1204,-0.561482964692753,-0.10106551260858351,1.33538269679014,0.5804165580723933,0.02361857495478277,-0.02361857495478277
90703,48108.0,1510.0,0.03138771,25.0,3.0,1.0,1.0,0.0,25.0,0.000519664,68.5,326.0,0.0,53.5,0.0,32.989442,36.09434349,37.10581382,27.33198028,37.05609476,37.06525352,40.06834839,27.6346448,26.6868218,38.45074058,35.04776323,44.68064124,35.8731998,40.72634415,16.25536634,43.1225106,16.73142591,27,0.000561237,32.989442,4.22683374526818,10.781224548778034,7.32052696227274,313.8771,2.886225709814682,1.7609494282992273,0.190004351647495,0.7595757070136848,0.35403397458033786,-0.35403397458033786
