term,coef,std_err,z_value,p_value
const,-23.13502647111597,14.838849383519387,-1.5590849312623016,0.11897627967152784
log_population,-0.24693275855822083,0.05746795031948165,-4.296877775968122,1.732206413846568e-05
log_part_1_crime_count,0.03278723423068043,0.0246001826695693,1.332804502758372,0.1825959676986686
crime_per_10k,-0.14710986427987333,0.09398281087328925,-1.5652847889196646,0.11751614814391834
crime_z,13.27403893732993,8.51399765012051,1.5590841673701947,0.11897646044828597
Count_Educational_Facility,-6.654317087008832,4.266828470671047,-1.559546424879438,0.11886710553489076
education_facilities_z,41.14913342741871,26.393312804213696,1.5590742144672816,0.11897881584446982
Count_Public_Safety,-17.506062050502667,11.251613710626666,-1.5558712288503953,0.11973871617187481
public_safety_z,25.326249605794455,16.231044349280154,1.5603585980539616,0.11867516293771606
Count_Fire_Stations,-7.3533123231259365,4.718601982858914,-1.5583667259578229,0.1191463396248118
Count_Police_Stations,-7.3533123231203,4.718601982855035,-1.5583667259579093,0.11914633962479133
Count_Corrective_Facility,-0.01975490295258239,0.05058748930646108,-0.39050965413417493,0.6961597179103685
external_amenities_index,21.259316890166176,13.6310390134417,1.5596255626003386,0.11884839205621513
avg_landmark_distance_z,-51.42974629806607,31.487568308924725,-1.6333349655168197,0.10239856674435918
centrality_index,51.42974629806104,31.48756830892206,1.6333349655167981,0.10239856674436372
LAX_Median_Distance_June_(KM),0.6086157822684709,0.3858465670764788,1.5773518133902094,0.11471459644898688
Hollywood_Walk_of_Fame_Median_Distance_June_(KM),1.812139243095178,1.1663135174704302,1.5537325221313159,0.12024823207732106
Griffith_Park_Median_Distance_June_(KM),0.5545322352959173,0.3817689494461914,1.4525336230207904,0.14635328720602764
Walt_Disney_Concert_Hall_Median_Distance_June_(KM),0.44056652316374756,0.26719034561865396,1.6488863852608802,0.09917091286024492
TCL_Chinese_Theater_Median_Distance_June_(KM),-20.630566731971484,25.719510563813124,-0.8021368323003125,0.42247381116830485
Madame_Tussauds_Median_Distance_June_(KM),20.04850541653605,24.840656428449694,0.8070843648710807,0.4196178793764104
Venice_Beach_Median_Distance_June_(KM),0.27576465472476813,0.20905503637943806,1.3191007473469862,0.18713543336509297
Crypto_Arena_Median_Distance_June_(KM),0.27345249094808505,0.2800333885425989,0.9764995966060926,0.3288169476973025
California_Science_Center_Median_Distance_June_(KM),0.4215773500827741,0.22792789428679902,1.849608409720612,0.06437000984695693
Hollywood_Sign_Median_Distance_June_(KM),0.6322388913189821,0.4627525470866122,1.366256966708057,0.1718583228364453
La_Brea_Median_Distance_June_(KM),0.3714036261843774,0.23149104980536192,1.6043973470968065,0.1086264954133742
Getty_Center_Median_Distance_June_(KM),0.3203289257516737,0.21734099872281296,1.4738541169593453,0.14052087383299378
Griffith_Observatory_Median_Distance_June_(KM),-0.19655087668123497,0.5146336578462746,-0.3819238669771311,0.7025178365417466
Universal_Studios_Hollywood_Median_Distance_June_(KM),0.4509693195271873,0.3324377847011449,1.3565525348828802,0.17492343210376626
Aquarium_of_the_Pacific_Median_Distance_June_(KM),0.7715344957792759,0.2920464509993287,2.6418211662536155,0.008246158387729295
Santa_Monica_Pier_Median_Distance_June_(KM),0.3806306114325161,0.21766577320086078,1.7486929884988038,0.08034410268111074
Queen_Mary_Median_Distance_June_(KM),-0.231054611351357,0.2611769938348468,-0.8846667846152733,0.3763363751898161
