ZIP_CODE,Population,Count_Public_Safety,Count_Fire_Stations,Count_Police_Stations,Count_Corrective_Facility,Count_Education_Facility,Crime_Per_Capita,Education_Per_Capita,Public_Safety_Per_Capita,amenities_index,crime_index,education_index,crime_events,violent_crime_events,property_crime_events,part1_events,crime_events_per_capita,violent_crime_per_capita,property_crime_per_capita
90001,56189,1,0,0,0,21,0.01888,0.000373739,1.8e-05,-0.12443560189346914,0.000981509841559253,0.15150988852745534,3571.0,1568.0,1828.0,2189.0,0.06355336453754294,0.027905817864706615,0.0325330580718646
90002,52122,1,0,0,0,14,0.00376,0.000268601,1.9e-05,-0.4462346875767851,-0.06943777977920364,-0.35308720897699813,10385.0,4358.0,5446.0,5824.0,0.1992440811941215,0.08361152680250182,0.10448562986838571
90003,70065,3,1,1,1,24,0.00011,0.000342539,4.3e-05,0.9630383357348474,-0.08643714532918939,0.0017692672284107952,26447.0,12230.0,12664.0,15192.0,0.3774637836294869,0.17455220152715337,0.1807464497252551
90004,58484,1,0,0,0,22,3e-05,0.000376171,1.7e-05,-0.07846430393870969,-0.08680973416316168,0.16318197798256046,14917.0,4206.0,9985.0,9170.0,0.2550612133233021,0.07191710553313727,0.17073045619314683
90005,39142,1,0,0,0,13,5e-05,0.000332124,2.6e-05,-0.49220598553154454,-0.08671658695466859,-0.04821626388792091,10337.0,3233.0,6602.0,6297.0,0.26408972459250935,0.08259669919779265,0.16866792703489858
90006,55527,2,1,1,0,13,2e-05,0.00023412,3.6e-05,0.4573540582324937,-0.08685630776740821,-0.5185745924068813,14678.0,5239.0,8599.0,8312.0,0.2643398706935365,0.09435049615502368,0.15486159886181497
90007,38715,1,0,0,0,22,0.00013,0.000568255,2.6e-05,-0.07846430393870969,-0.0863439981206963,1.0850658722647937,15807.0,4032.0,10941.0,10180.0,0.4082913599380085,0.10414567996900426,0.2826036419992251
90011,100113,3,1,1,0,38,5e-05,0.000379571,3e-05,1.6066365071014792,-0.08671658695466859,0.17949986620104597,21809.0,8384.0,11962.0,12293.0,0.21784383646479477,0.08374536773446006,0.11948498197037348
90012,37336,8,1,1,5,8,0.00654,0.00021427,0.000214,0.2274975684586966,-0.05649031779866654,-0.6138422633295105,19499.0,5342.0,13027.0,10712.0,0.522257338761517,0.14307906578101565,0.34891257767302336
90014,10224,2,1,1,0,0,0.0,0.0,0.000196,-0.14027281517937876,-0.08694945497590129,-1.6422051776162503,7494.0,2680.0,4519.0,5122.0,0.732981220657277,0.2621283255086072,0.4419992175273865
90015,24704,4,3,3,0,15,0.00089,0.000607189,0.000162,2.4484167416700893,-0.08280440419795956,1.2719248898820048,19884.0,5435.0,13642.0,13348.0,0.804889896373057,0.22000485751295337,0.5522182642487047
90016,46457,1,0,0,0,11,0.0,0.000236778,2.2e-05,-0.5841485814410633,-0.08694945497590129,-0.5058178433231357,13198.0,4086.0,8355.0,7386.0,0.2840906644854381,0.08795229997632219,0.17984372645672342
90017,30172,1,1,1,0,16,3e-05,0.000530293,3.3e-05,0.595267952096772,-0.08680973416316168,0.902871850926514,17474.0,5177.0,11706.0,11356.0,0.5791462282911308,0.1715829245658226,0.3879756065226037
90018,48745,2,0,0,0,16,0.0,0.000328239,4.1e-05,-0.3542920916672663,-0.08694945497590129,-0.06686185086698447,11631.0,3894.0,6963.0,6521.0,0.2386090881116012,0.07988511642219714,0.14284542004308134
90019,59548,2,1,1,1,15,2e-05,0.000251898,3.4e-05,0.5492966541420126,-0.08685630776740821,-0.43325123453975245,16951.0,4882.0,10953.0,9994.0,0.2846611137233828,0.08198428158796266,0.1839356485524283
90021,2897,1,0,0,0,8,0.00207,0.002761477,0.000345,-0.7220624753053416,-0.07730871889686827,11.611169235301112,8913.0,2598.0,5958.0,6606.0,3.0766309975837074,0.8967897825336555,2.0566102865032794
90022,60343,3,1,1,0,25,0.023,0.000414298,5e-05,1.0090096336896066,0.020169834791132202,0.3461678968373256,6521.0,1366.0,4467.0,3799.0,0.18883563988459093,0.04397951917534163,0.12229764193510417
90023,43857,2,0,0,0,19,0.00321,0.000433226,4.6e-05,-0.21637819780298803,-0.07199932801276313,0.4370105404254125,8972.0,2528.0,5907.0,5687.0,0.2045739562669585,0.05764188156964681,0.1346877351392024
